segment_id,lat_cell,lon_cell,detections
0,1.7,27.5,1
0,8.9,78.2,1
0,54.1,117.2,182
0,61.3,112.8,1361
0,15.0,105.9,1
0,-15.9,129.1,7
0,50.8,127.5,7
0,19.7,-98.7,33
0,-10.8,23.5,183
0,-11.3,38.7,66
0,12.8,24.4,10
0,23.6,86.2,7
0,-24.5,29.6,30
0,40.1,-75.1,1
0,35.4,45.5,16
0,46.7,-108.4,1
0,-16.2,-62.1,44
0,-6.2,-46.8,3
0,-6.2,-45.1,86
0,15.7,-86.5,2
0,12.7,106.0,1
0,34.8,50.8,2
0,18.1,-90.6,70
0,32.6,73.0,1
0,-15.6,47.6,1
0,-7.4,22.1,274
0,-12.2,-58.2,6
0,-18.4,127.7,165
0,46.0,124.0,1
0,-15.6,-65.7,12
0,-4.8,19.8,319
0,9.3,28.0,1
0,7.2,0.3,1
0,45.9,129.3,1
0,40.0,66.2,2
0,-8.5,-77.1,2
0,-18.1,48.2,15
0,-26.4,-49.7,2
0,8.2,-62.7,1
0,-18.5,29.8,7
0,32.7,-82.3,5
0,23.7,79.1,2
0,35.4,8.3,2
0,-27.4,-61.7,6
0,-30.4,149.5,4
0,-4.2,-44.4,20
0,-27.5,-52.6,1
0,12.1,1.4,1
0,32.5,-115.5,14
0,-19.6,33.5,197
0,-10.5,-48.1,21
0,-2.6,-44.2,3
0,35.7,-99.6,2
0,48.9,10.9,1
0,-4.0,23.4,177
0,13.1,36.7,3
0,59.3,100.9,2
0,7.1,-58.5,4
0,0.0,23.9,1
0,-15.8,-49.1,17
0,-4.3,-63.9,2
0,-1.5,-56.1,2
0,-10.6,29.5,134
0,49.8,135.4,9
0,-6.9,-76.1,1
0,43.8,-75.5,1
0,-16.4,18.3,29
0,39.5,27.0,6
0,37.0,9.6,22
0,30.7,115.0,1
0,51.9,42.3,2
0,44.8,39.8,1
0,-10.1,21.5,126
0,-31.5,151.0,5
0,-5.7,-76.7,41
0,41.7,126.0,117
0,-8.0,-45.3,52
0,-20.3,-43.1,2
0,34.1,-79.2,1
0,-13.1,14.2,32
0,-12.0,-39.5,1
0,23.2,114.2,1
0,-12.2,14.1,33
0,33.7,-84.0,1
0,-42.7,147.8,3
0,-13.1,-46.8,59
0,-11.6,20.3,171
0,-29.7,-55.4,1
0,28.9,116.8,4
0,-9.5,160.3,10
0,31.8,120.0,23
0,-15.4,126.4,9
0,30.3,72.2,1
0,-27.2,-54.2,40
0,54.7,115.7,94
0,-12.7,22.6,44
0,7.6,-62.3,12
0,-8.0,114.1,1
0,46.4,55.5,14
0,-6.4,22.8,83
0,-27.3,-61.3,3
0,-18.9,-46.9,36
0,51.7,83.4,1
0,6.9,81.3,2
0,-8.5,19.8,66
0,17.3,34.5,3
0,-38.2,143.9,2
0,-6.9,22.5,140
0,-20.1,-42.5,5
0,-35.2,-72.2,9
0,-12.8,-67.2,19
0,52.2,84.1,2
0,38.6,-4.2,6
0,-4.6,-44.2,1
0,15.2,76.4,2
0,-1.3,23.3,6
0,9.0,-75.4,2
0,2.8,31.7,1
0,-12.1,37.7,104
0,-10.6,-56.7,3
0,17.9,101.3,1
0,18.1,-90.7,107
0,-11.6,-54.6,51
0,-5.7,23.4,178
0,-1.3,122.0,1
